"repository_path","category","dataset","condition","method","source_path","size_bytes","sha256","source_hash_match","note"
"code/cwru/snr20/model_denoising.ipynb","notebook","CWRU","snr20","model_denoising","D:\文件备份\学习\论文-故障分类\历史模型\models\ROUND_4\Gaussian_test_noise_SNR=20\Base_dnn.ipynb","750960","b1b32b9d7685cbbca60e682263cf2de91e3fecab9f02a15d255182f3dc63fd29","true","Selected paper-result notebook"
"code/cwru/snr20/wavelet.ipynb","notebook","CWRU","snr20","wavelet","D:\文件备份\学习\论文-故障分类\历史模型\models\ROUND_4\Gaussian_test_noise_SNR=20\Base_wave.ipynb","755561","1b2e067338affdbadd996ae6feb59c3f18d2d4801ca4a5002d13115293595f2e","true","Selected paper-result notebook"
"code/cwru/snr5/basic.ipynb","notebook","CWRU","snr5","basic","D:\文件备份\学习\论文-故障分类\历史模型\models\ROUND_4\Gaussian_test_noise_SNR=5\Base.ipynb","752341","f23b6cb231b1cf0af8f4f4f0514148a158b299ec16d37e67f15e1e37485785eb","true","Selected paper-result notebook"
"code/cwru/snr5/hybrid.ipynb","notebook","CWRU","snr5","hybrid","D:\文件备份\学习\论文-故障分类\历史模型\models\ROUND_4\Gaussian_test_noise_SNR=5\test_niose_dnn_wave.ipynb","761633","dacadeae389e70fc7a794efdd85b9d1c239043bb667325eb5a164a8c3bdc7f88","true","Selected paper-result notebook"
"code/cwru/snr5/model_denoising.ipynb","notebook","CWRU","snr5","model_denoising","D:\文件备份\学习\论文-故障分类\历史模型\models\ROUND_4\Gaussian_test_noise_SNR=5\Base_dnn.ipynb","760456","f71f1057f275a75ad947b7d5b0681acad715844914ff79d3e266a81c9de9f836","true","Selected paper-result notebook"
"code/cwru/snr5/wavelet.ipynb","notebook","CWRU","snr5","wavelet","D:\文件备份\学习\论文-故障分类\历史模型\models\ROUND_4\Gaussian_test_noise_SNR=5\Base_wave.ipynb","753692","f4b2e9125eb0ab17a3842754a7f38a114ac840b0fd08666b459dc5e3355c90a2","true","Selected paper-result notebook"
"code/noise_generation/cwru/add_gaussian_noise.ipynb","notebook","CWRU","all","noise_generation","D:\文件备份\学习\论文-故障分类\历史模型\models\Noise_add_model\Gaussian_noise_add.ipynb","18891","6896d6846b3fcf9312860889b5290011d901297755fff937b2802028f9df9cf9","true","Historical Gaussian-noise generator; NumPy seed 42"
"code/noise_generation/cwru/add_test_noise.ipynb","notebook","CWRU","all","noise_generation","D:\文件备份\学习\论文-故障分类\历史模型\models\Noise_add_model\test_niose_add.ipynb","48470","dce53f82b43e47a11d13dc939aa6eec446fe1b17c69a8201504b40518edcd834","true","Historical test-noise generator; NumPy seed 42"
"code/noise_generation/sufd/add_test_noise.ipynb","notebook","SUFD","all","noise_generation","D:\文件备份\学习\论文-故障分类\历史模型\Geer_train_NEW\Noisy_add\test_niose_add.ipynb","16894","23f37bd3dc81b8ebdb50bc58c078a6b9e11bc7083b7f1235a0df86e090dc7a67","true","Historical generator; currently has mutable SNR_DB setting"
"code/plotting/plot_noise_accuracy.py","plotting_code","CWRU;SUFD","all","accuracy","D:\文件备份\学习\论文-故障分类\绘图\plot_noise_accuracy.py","9564","f3a7a67413843ef6a6cf9099c427ee2fb2b8ba534ef380350e83e1e5da4b3561","true","Generates grouped-bar and line accuracy figures in PDF, PNG, and SVG"
"code/plotting/plot_noise_gain.py","plotting_code","CWRU;SUFD","all","gain_interaction","D:\文件备份\学习\论文-故障分类\绘图\plot_noise_gain.py","11130","0990b359c930b2982d54b3cd4fbb3d9142c9112f28353c6029a000b72ade901a","true","Generates gain and hybrid interaction-effect figures"
"code/plotting/plot_radar_robustness.py","plotting_code","CWRU;SUFD","all","radar","D:\文件备份\学习\论文-故障分类\绘图\plot_radar_robustness.py","7228","2b0e7becede7642531f8cbbcfa0988f521ff5d5fbd31245153b14cc1930b3fc6","true","Generates robustness radar figures"
"code/sufd/clean/basic.ipynb","notebook","SUFD","clean","basic","D:\文件备份\学习\论文-故障分类\历史模型\Geer_train_NEW\Round_2\No_noisy\Geercode_bace.ipynb","509496","491bf915ff42838e510423afaba35bf26da5524f3b664ed30d9c0732ef246391","true","Selected paper-result notebook"
"code/sufd/clean/hybrid.ipynb","notebook","SUFD","clean","hybrid","D:\文件备份\学习\论文-故障分类\历史模型\Geer_train_NEW\Round_2\No_noisy\Geercode_dnn_wave.ipynb","828605","5727ef424edc6b393ba38d105994fab6e2c7083478f92f0deb69b13575b4b1e9","true","Selected paper-result notebook"
"code/sufd/clean/model_denoising.ipynb","notebook","SUFD","clean","model_denoising","D:\文件备份\学习\论文-故障分类\历史模型\Geer_train_NEW\Round_2\No_noisy\Geercode_dnn.ipynb","318371","df5fb52f13e1a58b04420cf9fd5282a02278667e0c2c4d091837ab407c3a8e92","true","Selected paper-result notebook"
"code/sufd/clean/wavelet.ipynb","notebook","SUFD","clean","wavelet","D:\文件备份\学习\论文-故障分类\历史模型\Geer_train_NEW\Round_2\No_noisy\Geercode_wave.ipynb","313269","78c59967855d765896d617039b4dab187fdd87b3fd9c8bb8e73303cf4b5494f2","true","Selected paper-result notebook"
"code/sufd/snr15/basic.ipynb","notebook","SUFD","snr15","basic","D:\文件备份\学习\论文-故障分类\历史模型\Geer_train_NEW\Round_1\SNR=15\Geercode_bace.ipynb","495622","b31c4d0fb25006215914e26e958f28780d4fad1d9bbaff586b356d94a843e048","true","Selected paper-result notebook"
"code/sufd/snr15/hybrid.ipynb","notebook","SUFD","snr15","hybrid","D:\文件备份\学习\论文-故障分类\历史模型\Geer_train_NEW\Round_1\SNR=15\Geercode_dnn_wave.ipynb","828399","e2ff66ec325ba669450c03e0c0af4f2ea3b9b0db8064a7df6557292f849c824e","true","Selected paper-result notebook"
"code/sufd/snr15/model_denoising.ipynb","notebook","SUFD","snr15","model_denoising","D:\文件备份\学习\论文-故障分类\历史模型\Geer_train_NEW\Round_1\SNR=15\Geercode_dnn.ipynb","302619","b8c832edc9677708a2a6f3edab28edbb9bfde19f755fd277e5001acc94b5a81a","true","Selected paper-result notebook"
"code/sufd/snr15/wavelet.ipynb","notebook","SUFD","snr15","wavelet","D:\文件备份\学习\论文-故障分类\历史模型\Geer_train_NEW\Round_1\SNR=15\Geercode_wave.ipynb","307182","d17cab116ca3f5c639dc3532424f201c6c204623f02cba8b3eaf4d62da7601a1","true","Selected paper-result notebook"
